season,date,age,team_played,game_type,venue,opponent,win_lose,point_difference,game_started,minutes_played,fieldgoal,fieldgoal_attempts,fieldgoal_percent,3pointers,3pointers_attempts,3pointers_percent,freethrows,freethrows_attempt,freethrow_percent,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
1,1/14/1997,18,los angeles lakers,season,away,vancouver grizzlies,w,10,0,5:34,1,6,0.167,0,2,0,0,0,,0,0,0,0,1,0,0,1,2
1,1/16/1997,18,los angeles lakers,season,away,portland trailbrazers,l,-4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1,1/18/1997,18,los angeles lakers,season,away,detroit pistons,l,-3,0,32:20,8,13,0.615,3,5,0.6,2,2,1,0,2,2,5,1,0,4,1,21
1,1/20/1997,18,los angeles lakers,season,away,dallas mavericks,w,10,0,13:24,3,7,0.429,0,0,,0,0,,1,1,2,1,1,0,5,2,6
1,1/24/1997,18,los angeles lakers,season,away,golden state warriors,w,17,0,24:54,4,8,0.5,1,4,0.25,8,8,1,3,3,6,4,1,0,3,2,17
1,1/26/1997,18,los angeles lakers,season,home,seattle supersonics,w,1,0,17:02,3,6,0.5,1,1,1,0,0,,1,0,1,1,1,0,3,0,7
1,1/28/1997,18,los angeles lakers,season,home,dallas mavericks,w,19,1,31:45,5,11,0.455,0,3,0,2,3,0.667,1,2,3,2,2,1,3,1,12
1,1/29/1997,18,los angeles lakers,season,home,san antonio spurs,w,7,1,29:51,6,12,0.5,3,7,0.429,4,4,1,1,3,4,0,2,2,3,2,19
1,2/2/1997,18,los angeles lakers,season,away,washington bullets,w,30,0,24:00,2,9,0.222,0,1,0,9,9,1,0,3,3,3,0,0,1,0,13
1,2/4/1997,18,los angeles lakers,season,home,los angeles clippers,l,-22,0,22:32,2,10,0.2,0,2,0,2,2,1,1,2,3,0,2,0,2,2,6
1,2/5/1997,18,los angeles lakers,season,away,chicago bulls,w,16,0,12:40,2,7,0.286,1,2,0.5,0,0,,1,2,3,0,0,1,0,0,5
1,2/12/1997,18,los angeles lakers,season,home,minnesota timberwolves,w,16,0,11:02,0,4,0,0,0,,2,3,0.667,1,1,2,3,0,1,1,1,2
1,2/13/1997,18,los angeles lakers,season,home,denver nuggets,w,15,0,20:00,4,10,0.4,1,2,0.5,0,0,,1,1,2,3,1,0,1,2,9
1,2/16/1997,18,los angeles lakers,season,away,seattle supersonics,l,-11,0,12:55,0,3,0,0,1,0,0,0,,0,1,1,0,0,0,2,2,0
1,2/19/1997,18,los angeles lakers,season,away,cleveland cavaliers,l,-19,1,23:27,3,7,0.429,2,4,0.5,2,2,1,0,2,2,0,0,2,1,3,10
1,2/21/1997,18,los angeles lakers,season,away,vancouver grizzlies,w,8,0,5:15,1,1,1,0,0,,0,0,,0,1,1,0,0,0,2,0,2
1,2/23/1997,18,los angeles lakers,season,away,new york knicks,l,-6,0,3:47,0,2,0,0,1,0,0,0,,0,1,1,0,0,0,0,1,0
1,2/25/1997,18,los angeles lakers,season,home,houston rockets,l,-4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1,2/27/1997,18,los angeles lakers,season,home,washington bullets,w,15,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1,2/28/1997,18,los angeles lakers,season,home,atlanta hawks,l,-11,0,1:23,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0
1,3/2/1997,18,los angeles lakers,season,home,indian pacers,l,-16,0,21:28,4,9,0.444,0,1,0,2,2,1,1,0,1,1,0,0,1,1,10
1,3/4/1997,18,los angeles lakers,season,home,dallas mavericks,w,10,0,6:18,0,2,0,0,1,0,0,0,,1,1,2,0,0,0,0,0,0
1,3/7/1997,18,los angeles lakers,season,away,houston rockets,l,-21,0,17:23,3,10,0.3,0,4,0,2,2,1,0,1,1,1,1,0,1,1,8
1,3/9/1997,18,los angeles lakers,season,away,new jersey nets,w,10,0,26:02,3,6,0.5,1,3,0.333,5,5,1,1,1,2,2,2,1,0,3,12
1,3/12/1997,18,los angeles lakers,season,away,golden state warriors,w,8,0,18:17,6,10,0.6,4,6,0.667,2,3,0.667,1,0,1,0,3,0,3,4,18
1,3/14/1997,18,los angeles lakers,season,away,los angeles clippers,l,-2,0,26:07,6,13,0.462,3,4,0.75,1,2,0.5,2,2,4,1,3,0,1,2,16
1,3/16/1997,18,los angeles lakers,season,away,toronto rapters,w,8,0,22:35,2,9,0.222,2,7,0.286,4,4,1,1,4,5,1,0,0,1,2,10
1,3/17/1997,18,los angeles lakers,season,home,denver nuggets,w,19,0,10:21,3,7,0.429,2,4,0.5,0,0,,0,0,0,1,2,0,1,0,8
1,3/20/1997,18,los angeles lakers,season,home,cleveland cavaliers,w,13,0,2:58,0,1,0,0,0,,0,0,,0,1,1,1,0,0,2,1,0
1,3/21/1997,18,los angeles lakers,season,home,miami heat,l,-1,0,2:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
1,3/23/1997,18,los angeles lakers,season,home,orlando magic,l,-26,0,18:44,3,6,0.5,0,1,0,2,2,1,1,1,2,4,0,0,4,1,8
1,3/24/1997,18,los angeles lakers,season,home,new jersey nets,w,25,0,8:48,2,3,0.667,0,0,,2,3,0.667,1,0,1,0,0,0,1,0,6
1,3/26/1997,18,los angeles lakers,season,away,milwaukee bucks,w,22,1,32:02,7,14,0.5,2,4,0.5,3,4,0.75,0,1,1,4,2,0,1,1,19
1,3/27/1997,18,los angeles lakers,season,home,vancouver grizzlies,w,4,1,42:41,6,16,0.375,1,5,0.2,7,7,1,4,4,8,4,3,0,3,3,20
1,4/1/1997,18,los angeles lakers,season,home,seattle supersonics,w,2,0,12:10,4,5,0.8,1,1,1,0,0,,0,1,1,1,0,0,2,5,9
1,4/2/1997,18,los angeles lakers,season,away,denver nuggets,w,25,0,16:28,2,6,0.333,0,0,,2,2,1,1,2,3,3,1,0,1,1,6
1,4/4/1997,18,los angeles lakers,season,away,san antonio spurs,l,-11,0,17:18,4,6,0.667,0,1,0,7,7,1,0,0,0,3,0,0,3,2,15
1,4/6/1997,18,los angeles lakers,season,away,dallas mavericks,w,7,0,21:45,3,9,0.333,2,4,0.5,5,5,1,1,1,2,3,3,0,1,3,13
1,4/8/1997,18,los angeles lakers,season,home,golden state warriors,w,24,0,24:42,9,11,0.818,2,3,0.667,4,7,0.571,1,1,2,3,1,0,5,3,24
1,4/9/1997,18,los angeles lakers,season,home,utah jazz,l,-12,0,33:27,3,12,0.25,1,2,0.5,4,6,0.667,1,1,2,3,1,0,2,2,11
1,4/11/1997,18,los angeles lakers,season,away,phoenix suns,w,16,1,27:59,3,7,0.429,1,2,0.5,0,0,,1,0,1,1,1,0,1,2,7
1,4/13/1997,18,los angeles lakers,season,away,utah jazz,w,2,0,15:30,3,5,0.6,0,1,0,6,6,1,1,0,1,4,0,1,1,0,12
1,4/17/1997,18,los angeles lakers,season,away,sacramento kings,w,9,0,15:47,1,4,0.25,0,1,0,1,2,0.5,0,2,2,1,1,0,3,2,3
1,4/18/1997,18,los angeles lakers,season,home,los angeles clippers,w,28,0,14:46,0,0,,0,0,,5,8,0.625,0,1,1,2,0,0,2,1,5
1,4/20/1997,18,los angeles lakers,season,home,portland trailbrazers,l,-4,0,3:47,0,0,,0,0,,2,2,1,0,1,1,1,0,1,2,0,2
1,4/25/1997,18,los angeles lakers,playoff,away,portland trailbrazers,w,18,0,0:46,1,1,1,0,0,,0,0,,0,0,0,0,0,0,0,0,2
1,4/27/1997,18,los angeles lakers,playoff,away,portland trailbrazers,w,14,0,4:50,1,3,0.333,0,1,0,4,4,1,0,0,0,0,0,0,0,1,6
1,4/30/1997,18,los angeles lakers,playoff,home,portland trailbrazers,l,-8,0,26:51,7,13,0.538,2,3,0.667,6,8,0.75,0,4,4,2,1,0,4,5,22
1,5/2/1997,18,los angeles lakers,playoff,home,portland trailbrazers,w,4,0,5:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
1,5/4/1997,18,los angeles lakers,playoff,home,utah jazz,l,-16,0,14:28,1,7,0.143,1,5,0.2,0,1,0,1,1,2,3,0,1,0,5,3
1,5/6/1997,18,los angeles lakers,playoff,home,utah jazz,l,-2,0,4:28,1,1,1,0,0,,0,0,,0,0,0,1,0,0,1,2,2
1,5/8/1997,18,los angeles lakers,playoff,away,utah jazz,w,20,0,19:22,3,7,0.429,0,2,0,13,14,0.929,0,1,1,3,1,1,3,3,19
1,5/10/1997,18,los angeles lakers,playoff,away,utah jazz,l,-15,0,28:23,3,9,0.333,3,6,0.5,0,0,,0,2,2,0,0,0,5,4,9
1,5/12/1997,18,los angeles lakers,playoff,home,utah jazz,l,-5,0,28:35,4,14,0.286,0,6,0,3,3,1,0,2,2,2,1,0,1,3,11
2,10/31/1997,19,los angeles lakers,season,away,utah jazz,w,17,0,32:57,5,13,0.385,0,2,0,13,14,0.929,0,3,3,5,1,0,1,1,23
2,11/4/1997,19,los angeles lakers,season,home,sacramento kings,w,3,0,21:06,2,10,0.2,0,2,0,0,0,,2,1,3,3,2,1,3,1,4
2,11/7/1997,19,los angeles lakers,season,away,new york knicks,w,5,0,19:30,1,9,0.111,0,2,0,2,3,0.667,0,1,1,1,1,0,0,2,4
2,11/9/1997,19,los angeles lakers,season,away,golden state warriors,w,35,0,23:44,11,18,0.611,2,3,0.667,1,2,0.5,2,1,3,5,3,1,0,1,25
2,11/11/1997,19,los angeles lakers,season,home,dallas mavericks,w,22,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
2,11/13/1997,19,los angeles lakers,season,home,san antonio spurs,w,9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
2,11/14/1997,19,los angeles lakers,season,home,houston rockets,w,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
2,11/16/1997,19,los angeles lakers,season,away,vancouver grizzlies,w,26,0,16:13,2,6,0.333,1,4,0.25,6,6,1,0,1,1,1,0,0,2,2,11
2,11/18/1997,19,los angeles lakers,season,home,utah jazz,w,5,0,28:58,4,10,0.4,0,2,0,11,12,0.917,1,4,5,2,0,2,2,2,19
2,11/19/1997,19,los angeles lakers,season,away,minnesota timberwolves,w,25,0,33:31,9,18,0.5,1,5,0.2,1,1,1,0,3,3,3,2,0,2,2,20
2,11/23/1997,19,los angeles lakers,season,away,los angeles clippers,w,17,0,29:06,8,21,0.381,0,2,0,8,9,0.889,3,2,5,4,4,0,1,3,24
2,11/25/1997,19,los angeles lakers,season,home,miami heat,l,-17,0,27:06,7,21,0.333,1,5,0.2,1,5,0.2,2,0,2,3,3,0,2,2,16
2,11/26/1997,19,los angeles lakers,season,home,boston celtics,w,15,0,27:58,5,11,0.455,1,1,1,3,8,0.375,2,3,5,2,1,0,7,1,14
2,11/28/1997,19,los angeles lakers,season,home,philadelphia 76ers,l,-10,0,22:41,7,11,0.636,3,5,0.6,2,5,0.4,1,1,2,1,0,1,4,4,19
2,11/30/1997,19,los angeles lakers,season,away,toronto rapters,w,6,0,18:44,2,8,0.25,0,1,0,2,2,1,0,5,5,3,1,0,2,3,6
2,12/3/1997,19,los angeles lakers,season,home,denver nuggets,w,18,0,23:58,3,10,0.3,1,3,0.333,3,4,0.75,1,3,4,5,0,2,2,1,10
2,12/5/1997,19,los angeles lakers,season,away,san antonio spurs,w,10,0,27:09,4,10,0.4,1,3,0.333,8,8,1,1,3,4,5,3,0,0,1,17
2,12/7/1997,19,los angeles lakers,season,away,cleveland cavaliers,l,-10,0,28:35,5,15,0.333,2,4,0.5,9,10,0.9,1,3,4,2,0,0,1,5,21
2,12/8/1997,19,los angeles lakers,season,home,portland trailbrazers,l,-6,0,25:08,6,14,0.429,1,3,0.333,6,8,0.75,0,2,2,1,1,0,3,3,19
2,12/10/1997,19,los angeles lakers,season,home,golden state warriors,l,-1,0,30:15,7,15,0.467,2,3,0.667,4,8,0.5,3,3,6,4,1,0,2,0,20
2,12/12/1997,19,los angeles lakers,season,away,houston rockets,w,17,0,25:47,8,15,0.533,2,4,0.5,9,10,0.9,1,4,5,1,2,0,1,1,27
2,12/14/1997,19,los angeles lakers,season,away,dallas mavericks,w,30,0,31:57,12,21,0.571,3,7,0.429,3,4,0.75,1,2,3,3,0,0,2,3,30
2,12/16/1997,19,los angeles lakers,season,home,minnesota timberwolves,w,13,0,23:10,7,15,0.467,0,2,0,5,5,1,2,4,6,0,0,0,1,3,19
2,12/17/1997,19,los angeles lakers,season,home,chicago bulls,l,-21,0,29:06,12,20,0.6,3,5,0.6,6,9,0.667,2,1,3,2,0,0,0,4,33
